prestamo_id,fecha_originacion,segmento,monto,plazo_meses,score_crediticio,ingreso_anual,dti,tasa_interes,default,perdida_dado_default
718802,2022-01-01,Retail,15216.79,36,588,41563,0.073,12.99,0,0
717632,2022-01-01,Retail,11099.15,36,702,63067,0.253,8.42,0,0
705403,2022-01-01,Retail,18965.7,36,618,35963,0.204,14.75,0,0
702284,2022-01-01,Retail,9615.9,60,671,69548,0.295,12.58,1,5267.01
719206,2022-01-01,Retail,4025.01,24,777,29543,0.045,8.13,0,0
700056,2022-01-01,Retail,14564.76,60,667,39497,0.139,10.31,0,0
710166,2022-01-01,PYME,71936.58,60,666,172373,0.318,14.01,0,0
709185,2022-01-01,Corporativo,2656542.16,60,669,1854808,0.252,12.78,0,0
716066,2022-01-01,Retail,4677.62,48,689,42471,0.273,10.8,0,0
707793,2022-01-01,Retail,14721.48,36,787,39692,0.127,7.9,0,0
700283,2022-01-01,Retail,15510.71,36,538,18476,0.194,15.98,0,0
702107,2022-01-01,Corporativo,3134459.48,60,627,3646112,0.211,15.1,0,0
715255,2022-01-01,Retail,9972.22,36,738,46613,0.02,7.22,0,0
703173,2022-01-01,Corporativo,1725038.99,60,480,620294,0.396,20.62,1,1690538.21
718617,2022-01-01,Retail,20018.93,48,624,34621,0.384,16.98,0,0
705734,2022-01-01,Retail,12433.94,48,665,55260,0.293,15.33,0,0
705725,2022-01-01,PYME,219164.03,48,689,143847,0.05,10.38,0,0
718125,2022-01-01,Retail,8050.6,48,650,36256,0.203,14.66,0,0
706746,2022-01-01,Retail,11554.41,60,633,36836,0.289,13.91,0,0
704863,2022-01-01,PYME,40837.19,48,613,60821,0.37,16.94,0,0
717965,2022-01-01,PYME,37588.67,84,786,146754,0.02,5.15,0,0
713655,2022-01-01,Retail,9128.23,24,677,32502,0.103,10.73,0,0
717156,2022-01-01,Retail,11026.48,120,661,19547,0.08,13.41,0,0
718183,2022-01-01,PYME,86554.3,24,699,199111,0.23,11.77,0,0
712118,2022-01-01,Retail,13209.22,36,636,29526,0.277,15.39,0,0
708700,2022-01-01,Retail,16510.43,48,647,48154,0.264,14.84,0,0
716171,2022-01-01,Retail,16011,24,638,42041,0.41,15.54,1,15288.6
715163,2022-01-02,Retail,21053.72,36,657,43372,0.17,12.35,0,0
704625,2022-01-02,PYME,115518.64,120,622,84041,0.279,14.7,0,0
704800,2022-01-02,Retail,8690.71,60,677,27591,0.186,12.01,0,0
