contacto_id,fecha_contacto,cliente_id,canal,producto,monto_ofertado,score_modelo,resultado,comentario
1,2025-05-12T00:00:00.000000000,100516,APP,Extracash,5026.41,0.1733,NO_INTERESADO,numero invalido
2,2025-06-11T00:00:00.000000000,100178,APP,PP,7162.92,0.2408,SIN_CONTACTO,mail abierto
3,2025-01-15T00:00:00.000000000,100338,HTML,TC,15482.61,0.5755,NO_INTERESADO,numero invalido
4,2025-02-08T00:00:00.000000000,100366,html ,TC,11302.08,0.2191,NO_INTERESADO,solicita llamada
5,2025-02-06T00:00:00.000000000,100156,APP,PP,24080.2,0.451,SIN_CONTACTO,no contesta
6,2025-05-09T00:00:00.000000000,100254,SMS,Seguro,7177.94,0.5253,REBOTE,sin respuesta
7,2025-03-07T00:00:00.000000000,100248,html ,Seguro,14468.82,0.1774,VENTA,cliente interesado
8,2025-02-12T00:00:00.000000000,100433,sms,PP,5026.55,0.1103,NO_CALIFICA,solicita llamada
9,2025-04-07T00:00:00.000000000,100025,APP,TC,4428.22,0.2514,SIN_CONTACTO,mail abierto
10,2025-02-13T00:00:00.000000000,100050,app ,Seguro,8348.35,0.0984,SIN_CONTACTO,mail abierto
11,2025-03-29T00:00:00.000000000,100090,HTML,PP,14156.66,0.4062,NO_INTERESADO,sin respuesta
12,2025-03-28T00:00:00.000000000,100381,APP,TC,19639.68,0.2333,NO_CALIFICA,no contesta
13,2025-03-31T00:00:00.000000000,100542,TLV,PP,13689.19,0.1493,NO_INTERESADO,no contesta
14,2025-03-17T00:00:00.000000000,100242,SMS,TC,9866.92,0.1948,NO_INTERESADO,cliente interesado
15,2025-01-20T00:00:00.000000000,100232,SMS,TC,9641.28,0.5111,SIN_CONTACTO,numero invalido
16,2025-01-30T00:00:00.000000000,100453,sms,Extracash,5981.22,0.149,NO_INTERESADO,cliente interesado
17,2025-05-26T00:00:00.000000000,100561,TLV,PP,3218.17,0.419,NO_CALIFICA,cliente interesado
18,2025-03-13T00:00:00.000000000,100044,SMS,PP,6693.5,0.3645,VENTA,sin respuesta
19,2025-05-17T00:00:00.000000000,100496,SMS,PP,15411.08,0.2584,NO_CALIFICA,sin respuesta
20,2025-04-18T00:00:00.000000000,100027,SMS,TC,9531.15,0.4181,NO_CALIFICA,no contesta
21,2025-05-18T00:00:00.000000000,100537,html ,PP,9851.12,0.2908,NO_INTERESADO,no contesta
22,2025-04-18T00:00:00.000000000,100120,HTML,TC,11827.52,0.1517,REBOTE,numero invalido
23,2025-06-12T00:00:00.000000000,100232,SMS,Extracash,9333.63,0.3277,SIN_CONTACTO,solicita llamada
24,2025-02-23T00:00:00.000000000,100402,TLV,TC,8952.2,0.1199,NO_CALIFICA,cliente interesado
25,2025-02-12T00:00:00.000000000,100255,TLV,PP,6840.74,0.2042,SIN_CONTACTO,mail abierto
26,2025-04-18T00:00:00.000000000,100385,SMS,TC,6248.71,0.2958,REBOTE,no contesta
27,2025-01-28T00:00:00.000000000,100232,sms,Extracash,12669.63,0.2224,NO_INTERESADO,cliente interesado
28,2025-06-16T00:00:00.000000000,100276,HTML,PP,22838.11,0.2158,REBOTE,mail abierto
29,2025-04-05T00:00:00.000000000,100536,SMS,PP,4212.5,0.355,SIN_CONTACTO,solicita llamada
30,2025-04-27T00:00:00.000000000,100134,HTML,PP,10213.69,0.0864,NO_INTERESADO,mail abierto
31,2025-03-26T00:00:00.000000000,100496,SMS,TC,9596.36,0.3279,NO_INTERESADO,sin respuesta
32,2025-04-03T00:00:00.000000000,100485,HTML,Extracash,10361.09,0.3674,VENTA,cliente interesado
33,2025-03-02T00:00:00.000000000,100443,SMS,Seguro,10241.68,0.127,NO_INTERESADO,numero invalido
34,2025-03-28T00:00:00.000000000,100589,SMS,TC,7867.4,0.3339,NO_INTERESADO,mail abierto
35,2025-03-14T00:00:00.000000000,100309,SMS,Extracash,13190.05,0.2351,NO_CALIFICA,mail abierto
36,2025-01-20T00:00:00.000000000,100466,SMS,PP,7272.73,0.6243,NO_INTERESADO,mail abierto
37,2025-03-08T00:00:00.000000000,100329,HTML,PP,3471.03,0.2919,SIN_CONTACTO,cliente interesado
38,2025-02-08T00:00:00.000000000,100282,APP,PP,10680.03,0.3537,SIN_CONTACTO,solicita llamada
39,2025-05-08T00:00:00.000000000,100561,APP,PP,15553.36,0.1185,SIN_CONTACTO,sin respuesta
40,2025-03-05T00:00:00.000000000,100063,tlv ,Seguro,5756.01,0.1272,REBOTE,mail abierto
41,2025-03-02T00:00:00.000000000,100388,HTML,PP,5393.87,0.0975,VENTA,cliente interesado
42,2025-04-27T00:00:00.000000000,100029,SMS,Extracash,7760.52,0.3179,SIN_CONTACTO,sin respuesta
43,2025-06-08T00:00:00.000000000,100534,SMS,PP,9795.41,0.5715,NO_INTERESADO,mail abierto
44,2025-06-05T00:00:00.000000000,100316,tlv ,TC,4871.52,0.5272,VENTA,sin respuesta
45,2025-03-16T00:00:00.000000000,100523,TLV,TC,5586.85,0.3544,SIN_CONTACTO,no contesta
46,2025-02-17T00:00:00.000000000,100365,HTML,PP,19781.45,0.1162,SIN_CONTACTO,solicita llamada
47,2025-03-26T00:00:00.000000000,100499,HTML,Extracash,16869.14,0.0665,REBOTE,cliente interesado
48,2025-02-15T00:00:00.000000000,100071,SMS,Extracash,6792.13,0.3256,REBOTE,solicita llamada
49,2025-04-15T00:00:00.000000000,100262,APP,PP,5029.41,0.5059,NO_INTERESADO,cliente interesado
50,2025-01-24T00:00:00.000000000,100390,HTML,TC,4524.37,0.2007,REBOTE,no contesta
51,2025-01-18T00:00:00.000000000,100075,APP,TC,21776.35,0.2256,NO_INTERESADO,no contesta
52,2025-01-13T00:00:00.000000000,100520,app ,TC,12807.73,0.7312,VENTA,no contesta
53,2025-02-09T00:00:00.000000000,100428,TLV,PP,5597.01,0.2261,SIN_CONTACTO,cliente interesado
54,2025-01-01T00:00:00.000000000,100131,SMS,PP,5414.05,0.3768,SIN_CONTACTO,cliente interesado
55,2025-01-14T00:00:00.000000000,100487,APP,TC,33727.92,0.3441,NO_INTERESADO,no contesta
56,2025-03-28T00:00:00.000000000,100439,APP,Extracash,15074.47,0.1879,REBOTE,solicita llamada
57,2025-02-14T00:00:00.000000000,100125,HTML,PP,9598.36,0.2894,VENTA,sin respuesta
58,2025-05-07T00:00:00.000000000,100282,sms,Extracash,21907.91,0.2652,NO_INTERESADO,solicita llamada
59,2025-05-23T00:00:00.000000000,100536,TLV,Seguro,15446.59,0.1705,NO_INTERESADO,cliente interesado
60,2025-03-09T00:00:00.000000000,100416,SMS,TC,4454.69,0.3775,NO_INTERESADO,numero invalido
61,2025-06-06T00:00:00.000000000,100488,HTML,Extracash,10533.97,0.5384,NO_INTERESADO,numero invalido
62,2025-04-16T00:00:00.000000000,100484,HTML,Extracash,8780.33,0.4287,VENTA,mail abierto
63,2025-03-19T00:00:00.000000000,100470,SMS,PP,13040.98,0.3256,SIN_CONTACTO,numero invalido
64,2025-05-11T00:00:00.000000000,100441,sms,PP,5726.82,0.3262,SIN_CONTACTO,no contesta
65,2025-06-24T00:00:00.000000000,100276,SMS,TC,7780.17,0.3104,NO_CALIFICA,numero invalido
66,2025-03-12T00:00:00.000000000,100369,tlv ,TC,3793.3,0.2327,SIN_CONTACTO,cliente interesado
