contacto_id,fecha_contacto,cliente_id,canal,producto,monto_ofertado,score_modelo,resultado,comentario
1,2025-04-03T00:00:00.000000000,100547,tlv ,PP,20214.95,0.3727,NO_INTERESADO,no contesta
2,2025-01-14T00:00:00.000000000,100480,SMS,PP,25640.18,0.7176,NO_INTERESADO,sin respuesta
3,2025-03-06T00:00:00.000000000,100233,TLV,TC,1796.09,0.3418,VENTA,numero invalido
4,2025-01-06T00:00:00.000000000,100336,HTML,TC,12552.64,0.5716,SIN_CONTACTO,no contesta
5,2025-01-17T00:00:00.000000000,100383,TLV,Extracash,10989.67,0.3901,NO_CALIFICA,numero invalido
6,2025-02-28T00:00:00.000000000,100396,SMS,PP,1731.79,0.1185,VENTA,numero invalido
7,2025-02-06T00:00:00.000000000,100261,HTML,Seguro,6088.58,0.3698,SIN_CONTACTO,cliente interesado
8,2025-03-03T00:00:00.000000000,100117,TLV,PP,8690.46,0.2296,SIN_CONTACTO,cliente interesado
9,2025-03-07T00:00:00.000000000,100101,APP,TC,19886.01,0.3672,SIN_CONTACTO,no contesta
10,2025-01-10T00:00:00.000000000,100096,HTML,Extracash,5766.37,0.2013,NO_CALIFICA,sin respuesta
11,2025-05-30T00:00:00.000000000,100013,APP,Seguro,10205.82,0.1914,REBOTE,solicita llamada
12,2025-01-18T00:00:00.000000000,100485,HTML,PP,8836.18,0.3306,SIN_CONTACTO,mail abierto
13,2025-04-11T00:00:00.000000000,100253,HTML,Extracash,11149.13,0.3474,REBOTE,mail abierto
14,2025-02-06T00:00:00.000000000,100134,SMS,TC,7333.05,0.1573,NO_INTERESADO,cliente interesado
15,2025-04-07T00:00:00.000000000,100501,TLV,TC,14900.38,0.102,SIN_CONTACTO,numero invalido
16,2025-01-03T00:00:00.000000000,100262,app ,PP,S/ 15568.68,0.3031,NO_INTERESADO,numero invalido
17,2025-05-03T00:00:00.000000000,100458,TLV,Extracash,4325.93,0.0454,NO_INTERESADO,mail abierto
18,2025-01-27T00:00:00.000000000,100530,APP,PP,16904.34,0.5211,NO_INTERESADO,mail abierto
19,2025-06-17T00:00:00.000000000,100199,SMS,Seguro,6062.51,0.2028,NO_INTERESADO,sin respuesta
20,2025-01-05T00:00:00.000000000,100088,sms,TC,7862.58,0.2627,NO_INTERESADO,numero invalido
21,2025-05-21T00:00:00.000000000,100081,tlv ,TC,16954.83,0.389,NO_INTERESADO,solicita llamada
22,2025-03-08T00:00:00.000000000,100407,APP,PP,9655.39,0.0979,REBOTE,sin respuesta
23,2025-01-27T00:00:00.000000000,100365,SMS,TC,S/ 12549.15,0.1438,NO_INTERESADO,mail abierto
24,2025-05-16T00:00:00.000000000,100149,HTML,PP,14116.54,0.1077,NO_INTERESADO,cliente interesado
25,2025-06-13T00:00:00.000000000,100387,tlv ,Extracash,12722.84,0.0605,NO_INTERESADO,mail abierto
26,2025-04-30T00:00:00.000000000,100375,TLV,Extracash,6818.45,0.1682,SIN_CONTACTO,no contesta
27,2025-06-14T00:00:00.000000000,100531,APP,PP,5435.41,0.2931,NO_INTERESADO,sin respuesta
28,2025-04-20T00:00:00.000000000,100489,app ,Extracash,13327.62,0.439,NO_INTERESADO,numero invalido
29,2025-06-16T00:00:00.000000000,100190,HTML,TC,13905.16,0.1573,NO_CALIFICA,no contesta
30,2025-03-26T00:00:00.000000000,100492,SMS,PP,11162.93,0.1991,NO_INTERESADO,numero invalido
31,2025-04-26T00:00:00.000000000,100373,SMS,TC,8273.62,0.162,NO_INTERESADO,sin respuesta
32,2025-02-03T00:00:00.000000000,100466,html ,TC,14693.41,0.5969,NO_INTERESADO,mail abierto
33,2025-04-25T00:00:00.000000000,100551,html ,TC,9050.42,0.1903,SIN_CONTACTO,no contesta
34,2025-01-09T00:00:00.000000000,100310,SMS,TC,4333.42,0.1807,NO_CALIFICA,solicita llamada
35,2025-02-19T00:00:00.000000000,100069,HTML,Extracash,10721.7,0.6466,VENTA,numero invalido
