date,location,link
"March 14, 1879","in Ulm, Germany",https://quotes.toscrape.com/author/Albert-Einstein
"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://quotes.toscrape.com/author/J-K-Rowling
"March 14, 1879","in Ulm, Germany",https://quotes.toscrape.com/author/Albert-Einstein
"December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom",https://quotes.toscrape.com/author/Jane-Austen
"June 01, 1926",in The United States,https://quotes.toscrape.com/author/Marilyn-Monroe
"March 14, 1879","in Ulm, Germany",https://quotes.toscrape.com/author/Albert-Einstein
"November 22, 1869","in Paris, France",https://quotes.toscrape.com/author/Andre-Gide
"February 11, 1847","in Milan, Ohio, The United States",https://quotes.toscrape.com/author/Thomas-A-Edison
"October 11, 1884",in The United States,https://quotes.toscrape.com/author/Eleanor-Roosevelt
"August 14, 1945","in Waco, Texas, The United States",https://quotes.toscrape.com/author/Steve-Martin
